# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
479 3.828 1.00167 2.31546
480 3.836 1.00578 2.32939
481 3.844 1.00207 2.34332
482 3.852 1.01138 2.35744
483 3.86 1.00253 2.37149
484 3.868 1.00597 2.38565
485 3.876 1.01257 2.39997
486 3.884 1.00484 2.41423
487 3.892 1.00586 2.42857
488 3.9 1.01925 2.44315
489 3.908 1.01591 2.45775
490 3.916 0.996521 2.47213
491 3.924 0.996787 2.48657
492 3.932 1.01198 2.50129
493 3.94 1.00012 2.5159
494 3.948 1.00398 2.53062
495 3.956 1.00708 2.54545
496 3.964 1.00779 2.56035
497 3.972 0.999069 2.57518
498 3.98 0.99282 2.58998
499 3.988 1.0178 2.60521
500 3.996 1.00503 2.62031
