# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
411 3.284 0.764521 143.462
412 3.292 0.863669 144.399
413 3.3 0.975848 145.464
414 3.308 1.08409 146.652
415 3.316 1.19534 147.968
416 3.324 1.30097 149.407
417 3.332 1.39898 150.962
418 3.34 1.4766 152.612
419 3.348 1.54245 154.343
420 3.356 1.58213 156.128
421 3.364 1.60427 157.946
422 3.372 1.60027 159.768
423 3.38 1.5739 161.568
424 3.388 1.53162 163.329
425 3.396 1.47253 165.029
426 3.404 1.39938 166.653
427 3.412 1.31829 168.19
428 3.42 1.23511 169.637
429 3.428 1.1483 170.988
430 3.436 1.07055 172.254
431 3.444 1.00438 173.447
432 3.452 0.945554 174.575
433 3.46 0.901768 175.656
434 3.468 0.878445 176.714
435 3.476 0.864705 177.76
436 3.484 0.866472 178.813
437 3.492 0.871967 179.878
438 3.5 0.894403 180.975
439 3.508 0.918173 182.107
440 3.516 0.938013 183.268
441 3.524 0.966854 184.47
442 3.532 0.981761 185.697
443 3.54 0.991459 186.941
444 3.548 0.995042 188.195
445 3.556 0.986444 189.444
446 3.564 0.971291 190.68
447 3.572 0.94652 191.889
448 3.58 0.912314 193.06
449 3.588 0.879513 194.194
450 3.596 0.837517 195.278
451 3.604 0.804367 196.325
452 3.612 0.773553 197.335
453 3.62 0.745495 198.313
454 3.628 0.727718 199.273
455 3.636 0.723037 200.23
456 3.644 0.722072 201.19
457 3.652 0.733871 202.17
458 3.66 0.755244 203.183
459 3.668 0.780689 204.235
460 3.676 0.812566 205.335
461 3.684 0.838386 206.474
462 3.692 0.872809 207.665
463 3.7 0.893913 208.891
464 3.708 0.913529 210.149
465 3.716 0.925853 211.429
466 3.724 0.927408 212.717
467 3.732 0.919975 214
468 3.74 0.903645 215.266
469 3.748 0.877503 216.5
470 3.756 0.851843 217.703
471 3.764 0.821376 218.869
472 3.772 0.789956 219.994
473 3.78 0.760833 221.083
474 3.788 0.737527 222.142
475 3.796 0.722251 223.185
476 3.804 0.712233 224.217
477 3.812 0.713903 225.256
478 3.82 0.718366 226.305
479 3.828 0.733797 227.382
480 3.836 0.757081 228.498
481 3.844 0.781887 229.655
482 3.852 0.813228 230.863
483 3.86 0.84075 232.117
484 3.868 0.865989 233.415
485 3.876 0.890903 234.755
486 3.884 0.913666 236.135
487 3.892 0.934205 237.552
488 3.9 0.954685 239.006
489 3.908 0.973981 240.496
490 3.916 0.999472 242.031
491 3.924 1.03094 243.62
492 3.932 1.06798 245.274
493 3.94 1.11654 247.009
494 3.948 1.17824 248.848
495 3.956 1.25421 250.814
496 3.964 1.34354 252.928
497 3.972 1.44989 255.219
498 3.98 1.56101 257.695
499 3.988 1.68006 260.371
500 3.996 1.80086 263.25
